Date,Close,High,Low,Open,Vol
2000-07-17,244.0,248.0,243.75,248.0,7233
2000-07-18,241.25,247.5,241.0,244.25,6523
2000-07-19,245.0,246.0,239.0,241.25,7136
2000-07-20,247.0,247.5,244.0,244.0,3792
2000-07-21,247.25,248.5,246.5,247.0,4380
2000-07-24,245.5,249.5,242.5,247.25,4393
2000-07-25,245.5,247.0,243.0,244.75,5973
2000-07-26,244.25,247.5,243.0,245.5,3755
2000-07-27,245.75,247.75,244.25,244.25,5397
2000-07-28,248.5,252.0,246.0,246.0,5698
2000-07-31,246.0,248.25,245.25,247.75,6131
2000-08-01,245.0,249.75,242.5,246.25,6981
2000-08-02,246.5,247.25,244.5,245.0,5729
2000-08-03,242.25,247.5,241.75,246.25,7054
2000-08-04,236.5,241.5,236.5,241.5,6080
2000-08-07,233.5,239.75,233.0,237.0,6493
2000-08-08,236.5,237.0,234.0,234.5,8204
2000-08-09,235.5,237.5,233.5,236.0,7031
2000-08-10,235.75,238.0,235.0,235.5,10411
2000-08-11,236.75,238.0,232.5,236.0,7029
2000-08-14,238.5,239.0,236.0,237.0,2579
2000-08-15,240.5,241.5,238.25,239.0,3775
2000-08-16,243.5,244.5,241.0,241.0,6007
2000-08-17,239.5,245.5,238.5,244.75,4709
2000-08-18,238.5,241.25,237.5,239.5,5945
2000-08-21,236.25,238.75,234.0,238.75,5510
2000-08-22,234.75,238.0,234.5,236.5,5745
2000-08-23,233.75,235.25,232.0,234.75,3472
2000-08-24,240.5,240.5,233.75,234.0,8565
2000-08-25,241.5,244.25,240.0,240.0,8198
2000-08-28,242.5,247.0,241.5,245.0,7918
2000-08-29,250.25,251.0,243.5,243.5,10671
2000-08-30,246.25,250.75,245.75,249.0,9
2000-08-31,251.0,251.0,248.0,248.0,11
2000-09-01,251.0,251.75,250.75,250.75,11
2000-09-05,250.25,251.0,250.75,250.75,11
2000-09-06,253.0,251.0,250.75,250.75,11
2000-09-08,249.5,251.0,250.75,250.75,11
2000-09-11,250.5,251.0,250.75,250.75,11
2000-09-12,249.25,251.0,250.75,250.75,4
2000-09-13,245.0,251.0,250.75,250.75,4
2000-09-14,242.0,251.0,250.75,250.75,100
2000-09-15,254.5,254.5,253.5,254.0,199
2000-09-18,252.25,253.5,252.0,253.5,112
2000-09-19,256.5,256.5,255.25,256.0,173
2000-09-20,248.0,249.25,248.0,248.75,384
2000-09-21,247.0,250.0,247.0,248.75,101
2000-09-22,247.5,248.25,246.75,247.25,278
2000-09-25,255.0,255.0,251.5,251.5,55
2000-09-26,254.25,254.5,253.25,253.75,122
2000-09-27,253.0,255.0,253.0,254.75,269
2000-09-28,259.75,259.75,258.5,258.75,229
2000-09-29,258.0,259.5,258.0,259.25,843
2000-10-02,270.5,272.0,265.5,265.5,142
2000-10-03,269.0,269.0,266.0,267.25,176
2000-10-04,266.75,268.5,266.75,268.0,306
2000-10-05,265.25,267.5,265.25,266.5,48
2000-10-06,266.5,267.5,266.0,267.0,436
2000-10-09,267.5,269.25,267.5,269.25,61
2000-10-10,267.0,268.0,266.5,267.5,252
2000-10-11,273.5,275.5,273.5,275.25,292
2000-10-12,277.25,277.25,275.0,276.75,218
2000-10-13,272.75,273.25,272.0,272.5,301
2000-10-16,266.0,270.0,265.5,267.0,210
2000-10-17,271.5,274.0,271.0,271.0,55
2000-10-18,266.75,270.0,266.75,268.0,176
2000-10-19,264.75,264.75,263.5,264.0,195
2000-10-20,259.5,261.0,258.5,259.75,114
2000-10-23,260.0,260.0,259.0,260.0,51
2000-10-24,258.5,258.5,257.25,257.75,72
2000-10-25,256.5,257.75,256.5,257.5,52
2000-10-26,255.5,256.0,254.75,255.0,44
2000-10-27,256.25,257.5,256.25,256.5,137
2000-10-30,260.5,260.5,258.25,259.0,110
2000-10-31,253.5,256.0,253.5,256.0,154
2000-11-02,256.75,258.0,255.0,255.0,91
2000-11-03,261.5,262.0,260.0,260.0,113
2000-11-06,265.5,265.5,263.75,264.0,127
2000-11-07,261.5,263.0,261.5,263.0,71
2000-11-08,263.25,263.5,262.25,263.25,153
2000-11-09,266.25,266.25,265.75,265.75,210
2000-11-10,256.25,258.25,256.0,258.25,98
2000-11-13,257.0,258.0,255.5,258.0,69
2000-11-14,258.0,258.0,256.75,258.0,90
2000-11-15,255.5,258.0,255.5,256.0,158
2000-11-16,253.0,255.25,253.0,254.5,52
2000-11-17,256.25,256.25,255.0,255.0,94
2000-11-20,257.75,258.0,256.5,256.5,134
2000-11-21,255.75,256.5,254.5,255.0,140
2000-11-22,257.5,258.0,253.75,255.25,166
2000-11-24,260.25,263.0,258.0,259.0,57
2000-11-27,261.0,261.75,260.75,261.0,102
2000-11-28,256.5,257.25,255.5,257.25,75
2000-11-29,256.25,256.25,254.5,254.5,314
2000-11-30,252.5,253.5,251.5,251.5,70
2000-12-01,256.25,257.5,256.0,256.0,2
2000-12-04,260.5,260.75,260.5,260.5,2
2000-12-05,262.0,260.5,260.5,260.5,40
2000-12-15,267.5,269.0,267.5,268.0,259
2000-12-18,266.75,268.0,265.0,265.5,40
2000-12-19,269.5,269.5,267.0,269.0,82
2000-12-20,273.5,274.25,272.75,274.0,45
2000-12-21,271.75,271.75,270.5,271.0,258
2000-12-22,275.75,275.75,273.0,273.0,57
2000-12-27,274.0,274.5,273.0,274.0,56
2000-12-28,272.0,273.5,272.0,272.5,37
2000-12-29,272.75,273.0,271.5,271.5,295
2001-01-02,277.25,278.5,277.0,278.5,90
2001-01-03,275.75,276.75,275.5,276.25,352
2001-01-04,283.0,283.25,282.5,283.0,218
2001-01-05,284.25,284.5,284.0,284.5,138
2001-01-08,281.25,283.5,281.25,283.5,276
2001-01-09,281.0,283.0,281.0,282.5,152
2001-01-10,285.5,286.0,284.5,284.5,237
2001-01-11,288.25,289.0,288.0,288.5,243
2001-01-12,288.0,289.5,288.0,289.0,181
2001-01-16,287.0,288.0,287.0,287.75,269
2001-01-17,283.0,284.5,283.0,284.5,127
2001-01-18,284.25,284.25,283.0,283.5,79
2001-01-19,285.5,286.0,284.25,284.5,127
2001-01-22,286.0,286.25,285.0,286.0,79
2001-01-23,285.25,286.0,284.5,285.5,36
2001-01-24,286.5,286.5,285.75,286.0,40
2001-01-25,285.0,285.5,285.0,285.5,184
2001-01-26,278.75,280.5,278.75,279.0,40
2001-01-29,274.75,276.25,274.75,276.0,144
2001-01-30,271.0,271.0,269.0,269.25,129
2001-01-31,271.0,271.0,268.0,270.5,49
2001-02-01,273.0,273.5,272.5,273.5,106
2001-02-02,269.25,271.0,269.25,271.0,114
2001-02-05,271.5,276.0,271.5,272.5,462
2001-02-06,267.5,268.5,265.75,267.5,23
2001-02-07,267.0,267.0,266.25,267.0,49
2001-02-08,267.5,267.75,267.0,267.0,23
2001-02-09,267.25,267.5,267.0,267.0,52
2001-02-12,266.0,267.25,265.75,266.0,141
2001-02-14,265.0,265.0,263.0,263.5,162
2001-02-15,268.5,268.5,267.75,268.0,174
2001-02-16,269.0,269.0,267.0,267.0,162
2001-02-20,267.0,268.0,265.25,265.25,28
2001-02-21,267.0,267.0,266.25,267.0,83
2001-02-22,263.0,263.0,262.25,262.5,62
2001-02-26,259.75,260.0,259.5,260.0,18
2001-02-27,260.0,260.25,259.0,260.25,26
2001-02-28,257.5,269.0,257.5,258.5,8
2001-03-01,267.75,267.75,265.75,267.5,8
2001-03-02,266.75,267.75,265.75,267.5,1
2001-03-06,274.0,274.25,274.0,274.0,1
2001-03-07,272.25,274.0,274.0,274.0,2
2001-03-09,268.0,268.0,268.0,268.0,2
2001-03-12,277.0,270.25,268.0,268.0,133
2001-03-15,284.0,285.0,283.5,284.75,266
2001-03-16,273.0,274.5,273.0,273.75,97
2001-03-19,271.25,271.25,270.0,270.0,68
2001-03-20,268.75,269.5,267.5,269.5,108
2001-03-21,269.75,271.25,269.75,271.25,58
2001-03-22,267.5,268.0,266.0,267.0,196
2001-03-23,261.5,261.75,260.25,260.25,70
2001-03-26,264.5,265.0,263.25,263.25,178
2001-03-27,269.25,269.5,267.25,268.0,50
2001-03-28,269.0,269.0,266.5,266.75,101
2001-03-29,265.0,266.0,263.75,266.0,22
2001-04-02,260.5,260.5,259.0,260.0,29
2001-04-04,263.25,263.25,262.25,262.25,60
2001-04-05,267.5,268.0,266.25,266.5,16
2001-04-06,266.75,266.75,265.5,266.0,25
2001-04-09,264.0,264.5,262.5,262.5,64
2001-04-10,261.75,263.0,261.5,261.5,160
2001-04-11,257.0,257.75,256.5,257.75,89
2001-04-12,263.0,263.0,261.25,261.25,87
2001-04-16,270.5,270.5,267.25,267.25,55
2001-04-17,269.5,270.5,268.0,269.5,45
2001-04-18,265.75,267.5,265.5,265.75,43
2001-04-19,269.5,269.5,268.0,269.0,10
2001-04-20,267.75,267.75,267.0,267.0,66
2001-04-23,268.0,268.25,267.25,267.25,6
2001-04-24,264.75,265.25,263.75,263.75,25
2001-04-25,265.0,265.0,264.5,264.5,6
2001-04-26,270.25,270.25,268.25,268.25,42
2001-04-27,268.75,270.5,268.75,270.25,45
2001-04-30,265.75,268.75,265.25,265.25,15
2001-05-01,275.5,275.5,273.5,273.5,15
2001-05-02,271.0,275.5,273.5,273.5,15
2001-05-03,268.25,268.25,268.25,268.25,15
2001-05-04,263.0,263.0,263.0,263.0,15
2001-05-07,263.0,263.0,263.0,263.0,15
2001-05-09,257.75,257.75,257.75,257.75,3
2001-05-10,256.5,256.5,256.5,256.5,3
2001-05-11,260.0,256.5,256.5,256.5,3
2001-05-14,260.0,256.5,256.5,256.5,401
2001-05-15,279.5,281.75,279.0,279.25,203
2001-05-16,277.0,277.5,276.5,277.0,121
2001-05-17,275.0,275.75,274.75,275.75,102
2001-05-18,275.5,277.0,275.0,276.0,169
2001-05-21,269.75,270.75,269.0,270.75,293
2001-05-22,263.0,265.0,263.0,264.5,87
2001-05-23,262.0,262.0,260.0,260.0,72
2001-05-24,261.75,261.75,260.5,260.5,34
2001-05-25,262.5,262.5,261.75,261.75,272
2001-05-29,260.5,262.25,260.25,260.5,149
2001-05-30,267.5,267.5,265.75,265.75,277
2001-05-31,264.75,264.75,264.0,264.25,149
2001-06-01,269.0,269.0,266.75,266.75,227
2001-06-04,269.5,269.75,265.0,269.5,195
2001-06-05,263.5,263.5,263.0,263.0,93
2001-06-06,259.5,260.5,259.5,260.0,153
2001-06-07,262.75,263.5,262.0,262.0,63
2001-06-08,265.0,265.0,263.25,264.25,119
2001-06-12,260.5,261.75,260.5,261.5,94
2001-06-13,264.5,264.5,262.75,262.75,323
2001-06-14,259.25,262.0,259.25,261.75,94
2001-06-15,258.25,258.75,258.0,258.0,328
2001-06-18,256.5,256.5,255.0,256.0,279
2001-06-19,264.0,264.0,263.0,263.0,328
2001-06-20,262.0,262.0,261.0,261.0,69
2001-06-21,255.0,256.0,254.5,254.5,71
2001-06-22,254.75,256.0,254.75,255.0,62
2001-06-25,251.0,252.0,251.0,251.0,119
2001-06-26,248.0,248.0,245.0,245.25,77
2001-06-27,249.0,249.0,247.75,247.75,170
2001-06-28,249.0,249.0,247.5,247.5,116
2001-06-29,244.75,244.75,243.0,243.0,7
2001-07-02,246.25,256.0,246.25,256.0,30
2001-07-03,250.0,250.75,250.0,250.25,30
2001-07-05,253.5,250.25,250.0,250.25,30
2001-07-06,257.0,257.0,257.0,257.0,3
2001-07-09,257.75,257.75,257.75,257.75,3
2001-07-10,258.25,257.75,257.75,257.75,3
2001-07-11,262.0,262.0,262.0,262.0,18
2001-07-12,265.0,267.0,265.0,267.0,581
2001-07-13,287.75,291.75,287.0,289.75,234
2001-07-16,283.0,284.5,282.0,284.5,581
2001-07-17,290.0,292.75,282.25,282.25,234
2001-07-18,285.75,290.0,283.0,289.0,427
2001-07-19,291.0,293.25,288.25,289.0,238
2001-07-20,289.0,291.0,288.25,290.0,427
2001-07-23,281.0,283.0,279.0,279.25,246
2001-07-24,288.0,288.5,285.0,285.0,95
2001-07-25,284.75,284.75,281.5,281.5,149
2001-07-26,283.5,284.5,282.5,284.0,95
2001-07-27,281.5,281.5,279.5,279.5,137
2001-07-30,279.5,281.0,279.0,279.75,117
2001-07-31,275.0,276.0,274.5,275.0,71
2001-08-01,279.25,279.5,277.0,277.5,117
2001-08-02,276.5,277.0,274.0,274.0,71
2001-08-03,270.25,271.5,269.5,269.5,15
2001-08-06,265.0,266.5,264.5,264.75,59
2001-08-07,267.5,268.25,266.25,266.25,24
2001-08-08,269.5,269.5,268.0,268.0,69
2001-08-09,270.0,270.0,268.75,268.75,24
2001-08-10,271.5,272.25,271.0,271.0,59
2001-08-13,271.0,271.0,269.5,270.0,56
2001-08-14,270.0,272.25,270.0,272.0,87
2001-08-15,269.0,269.25,268.0,268.75,56
2001-08-16,267.0,267.0,266.25,266.75,33
2001-08-17,268.0,269.0,267.25,267.25,13
2001-08-20,264.0,265.0,263.5,265.0,27
2001-08-21,267.0,267.5,266.0,266.0,59
2001-08-22,268.5,268.5,267.5,268.0,110
2001-08-23,271.25,271.75,271.25,271.25,160
2001-08-24,276.0,276.75,275.25,275.25,110
2001-08-27,272.75,273.0,271.0,271.25,87
2001-08-28,275.25,275.25,273.5,273.5,6
2001-08-29,270.0,270.0,269.0,270.0,87
2001-08-30,274.25,274.5,274.25,274.5,1
2001-09-04,277.0,277.0,277.0,277.0,1
2001-09-05,276.5,277.0,277.0,277.0,1
2001-09-06,274.75,274.75,274.75,274.75,1
2001-09-10,271.0,271.0,271.0,271.0,1
2001-09-11,271.0,271.0,271.0,271.0,1
2001-09-12,271.0,271.0,271.0,271.0,6
2001-09-13,274.5,274.5,274.5,274.5,170
2001-09-17,272.25,272.25,269.0,271.0,129
2001-09-18,276.5,277.0,275.0,275.25,141
2001-09-19,268.0,268.75,267.0,268.0,129
2001-09-20,261.5,263.75,261.5,263.25,66
2001-09-21,266.5,267.0,265.25,265.75,122
2001-09-24,266.75,267.0,265.75,267.0,66
2001-09-25,267.25,267.5,266.0,267.0,32
2001-09-26,270.75,272.0,270.75,270.75,75
2001-09-27,276.0,277.0,275.25,276.0,88
2001-09-28,275.0,275.0,273.75,274.25,75
2001-10-01,270.5,270.75,269.75,270.75,88
2001-10-02,266.0,267.5,265.5,266.0,88
2001-10-03,263.75,264.0,262.75,264.0,104
2001-10-04,270.5,271.5,269.5,269.75,83
2001-10-05,272.5,273.5,272.5,273.0,120
2001-10-08,275.0,275.75,273.5,273.5,83
2001-10-09,272.75,272.75,271.25,272.0,38
2001-10-10,274.75,275.5,274.0,275.0,64
2001-10-11,279.25,279.5,279.0,279.0,151
2001-10-12,278.25,279.75,278.0,279.25,117
2001-10-15,274.5,276.25,274.5,275.5,36
2001-10-16,273.5,274.0,273.25,274.0,112
2001-10-17,277.25,278.5,277.25,278.5,161
2001-10-18,286.0,286.0,285.0,285.0,203
2001-10-19,285.5,289.0,282.25,283.0,136
2001-10-22,287.5,287.5,286.0,287.25,65
2001-10-23,281.5,282.5,281.5,281.5,135
2001-10-24,286.25,286.75,286.0,286.0,65
2001-10-25,283.5,285.25,283.0,285.25,302
2001-10-26,290.75,291.0,289.25,290.0,24
2001-10-29,293.5,295.0,293.5,295.0,302
2001-10-30,296.75,297.0,290.5,291.0,103
2001-10-31,295.25,296.0,295.0,295.5,284
2001-11-01,292.25,292.75,290.75,291.5,34
2001-11-02,289.0,289.0,288.25,288.25,166
2001-11-05,283.0,285.25,283.0,285.25,154
2001-11-06,284.0,286.0,284.0,284.5,70
2001-11-07,287.0,287.0,286.0,286.0,82
2001-11-08,287.75,288.0,287.0,287.0,108
2001-11-09,283.5,283.75,283.0,283.5,100
2001-11-12,285.5,287.5,285.5,286.0,108
2001-11-13,281.0,283.0,281.0,283.0,128
2001-11-14,277.5,278.5,277.25,278.0,108
2001-11-15,282.0,282.0,280.75,280.75,69
2001-11-16,280.0,280.0,279.25,280.0,117
2001-11-19,289.25,290.75,288.25,288.25,114
2001-11-20,289.25,290.25,289.25,290.25,251
2001-11-21,287.0,287.25,286.5,286.5,52
2001-11-23,289.5,289.5,286.75,287.0,61
2001-11-26,289.5,289.75,288.5,289.0,157
2001-11-27,278.0,278.75,277.5,277.5,61
2001-11-28,279.5,279.5,279.25,279.5,61
2001-11-29,274.5,275.0,274.0,274.0,190
2001-11-30,278.0,278.0,273.0,273.0,17
2001-12-03,283.0,283.75,282.5,283.75,22
2001-12-04,281.0,282.0,278.25,280.25,23
2001-12-05,277.5,277.5,275.5,275.5,23
2001-12-07,273.0,273.0,273.0,273.0,3
2001-12-10,276.75,281.25,276.75,281.25,2
2001-12-11,276.0,276.0,273.5,276.0,2
2001-12-13,277.0,277.0,277.0,277.0,2
2001-12-14,275.0,275.0,275.0,275.0,34
2001-12-17,286.75,287.0,285.5,287.0,60
2001-12-18,287.5,287.5,285.75,285.75,95
2001-12-19,285.25,286.5,284.25,286.0,61
2001-12-20,293.25,293.5,292.5,293.25,230
2001-12-21,287.75,287.75,287.0,287.5,230
2001-12-24,288.75,288.75,288.75,288.75,170
2001-12-27,288.5,291.0,285.0,285.0,95
2001-12-28,292.5,292.5,290.5,291.0,170
2001-12-31,291.0,291.0,289.75,289.75,58
